,dex_price,cex_price,unix_datetime,pool_asset,cex_asset,date,time,price_diff
510,15.018855327,14.9665,1675863063.0,ATOM,ATOM,2023-02-08,13:31:03,99.8254
512,20.050951064,19.975,1675863074.0,AVAX,AVAX,2023-02-08,13:31:14,99.8102
513,132.063460122,131.75,1675863077.0,BCH,BCH,2023-02-08,13:31:17,99.8812
514,0.717547643,0.72,1675863080.0,AVA,AVA,2023-02-08,13:31:20,99.8294
516,1648.837239086,1646.005,1675863088.0,ETH,ETH,2023-02-08,13:31:28,99.914
517,1.547991539,1.5451,1675863089.0,TWT,TWT,2023-02-08,13:31:29,99.9065
518,22969.754003824,22851.17,1675863091.0,BTC,BTC,2023-02-08,13:31:31,99.7412
519,0.089902431,0.089725,1675863093.0,DOGE,DOGE,2023-02-08,13:31:33,99.9012
520,89.705676924,86.25,1675863094.0,AAVE,AAVE,2023-02-08,13:31:34,98.0361
521,1657.616946548,1645.875,1675863103.0,ETH,ETH,2023-02-08,13:31:43,99.6446
522,2.682200214,2.656,1675863113.0,SNX,SNX,2023-02-08,13:31:53,99.5092
523,1.00210018,0.99995,1675863123.0,USDT,USDT,2023-02-08,13:32:03,99.8926
524,22911.428775338,22831.795,1675863127.0,WBTC,WBTC,2023-02-08,13:32:07,99.8259
525,7728.591187403,7699.0,1675863131.0,YFI,YFI,2023-02-08,13:32:11,99.8082
